Keyword,AIDAStage,MediaFormat,Platform,ToneCluster
nan emotionally logical is different from rationall? in life,Interest,Static Post,LinkedIn,inviting curiosity
when we suffer from overthinking? in life,Desire,Article,Facebook,reflective curiosity
how annoying they are? again,Desire,Article,YouTube Shorts,uncertainty and introspection
how does would you say next time it came up?,Interest,Carousel,Instagram,introspective reflection
can be uncomfortable?,Action,Static Post,YouTube Shorts,gratitude
big emotions in others?,Action,Article,LinkedIn,gratitude
don't we all use logic? deeply,Action,Static Post,LinkedIn,contemplative uncertainty
does it mean is this movement so rapidly gaining momentum,Desire,Static Post,YouTube Shorts,formal and authoritative
is not one magical solution,Action,Static Post,LinkedIn,reflective curiosity
can trust our self? deeply,Action,Article,Medium,introspective exploration
is easy and exact? deeply,Interest,Reel,Facebook,contemplative uncertainty
whose smarts and abilities got added to yours to make it feel like a 100?,Interest,Article,YouTube Shorts,gratitude
when logic is spoken? now,Interest,YouTube Short,Instagram,inviting curiosity
being talked about when you are not around deeply,Interest,YouTube Short,LinkedIn,reflective curiosity
is wishful thinking? deeply,Action,Static Post,LinkedIn,contemplative uncertainty
whole of that person? in life,Action,Reel,Facebook,contemplative uncertainty
is designed to be used in survival situations now,Interest,Static Post,Medium,uplifting guidance
of being gullible or betrayed,Awareness,Static Post,Medium,uncertainty and introspection
is designed to?,Desire,Static Post,LinkedIn,contemplative uncertainty
when our heart is so wounded?,Action,YouTube Short,Instagram,formal and authoritative
can you openly ask for what exactly you really need - with humanness?,Awareness,Mini Article,Medium,reflective curiosity
is not our intention? at work,Action,Carousel,Instagram,formal and authoritative
beings and needs as valid points of data when resolving a minor conflict,Awareness,Reel,Facebook,reflective curiosity
being our own expert? now,Desire,Article,Medium,introspective reflection
who am i now? again,Desire,Mini Article,YouTube Shorts,gratitude
dodge judgment and sidestep its blow? deeply,Interest,YouTube Short,YouTube Shorts,uplifting guidance
do not and cannot? now,Action,Static Post,LinkedIn,contemplative uncertainty
doesn't matter?,Interest,YouTube Short,Medium,uncertainty and introspection
is pat-on-our-back the reason that we do not deeply,Action,YouTube Short,Medium,gratitude
does that make you less-than or greater-than? now,Awareness,YouTube Short,Facebook,introspective exploration
when to trust? in life,Awareness,Carousel,LinkedIn,gratitude
when to trust? in life,Desire,Reel,LinkedIn,promotional
downplay our hurt? at work,Awareness,Static Post,YouTube Shorts,formal and authoritative
an identity update? again,Desire,Carousel,LinkedIn,gratitude
big emotions are obvious,Desire,YouTube Short,LinkedIn,introspective exploration
who or how does will help you see your blindspots and shadow side?,Action,Static Post,Facebook,gratitude
who am i now? in life,Desire,Carousel,Instagram,uplifting guidance
is that me-peopling births you-peopling?,Action,Mini Article,Facebook,uncertainty and introspection
methods to gain deeply,Interest,Mini Article,Medium,uplifting guidance
is which leads to a greater-than mindset?,Awareness,Mini Article,Medium,inviting curiosity
being good enough in life,Awareness,Static Post,Facebook,reflective curiosity
how does is this inner voice?,Action,Static Post,Medium,uncertainty and introspection
when we hit that fancy button on our remote? deeply,Action,Article,Instagram,introspective exploration
when our heart is so wounded?,Interest,Carousel,LinkedIn,uncertainty and introspection
cannot claim to be the expert on another? again,Action,Article,YouTube Shorts,reflective curiosity
is a success spiral of becoming aware of our demon and healing it? deeply,Action,YouTube Short,YouTube Shorts,gratitude
is more accurate?,Desire,Static Post,Medium,reflective curiosity
feel zombie-ish and unhuman if we don't?,Desire,Static Post,Medium,promotional
doesn't work?,Action,Reel,Instagram,introspective exploration
does know methods to seal deeply,Interest,Article,Instagram,uplifting guidance
is so easy to spot non-sense in others? now,Awareness,Static Post,Facebook,uncertainty and introspection
nan emotionally logical is different from rationall again,Interest,Mini Article,YouTube Shorts,uplifting guidance
is hard to name? now,Desire,Mini Article,LinkedIn,formal and authoritative
when we strain to function at the battery charge that we are not truly at?,Action,Mini Article,Facebook,uncertainty and introspection
when we you-people? deeply,Action,YouTube Short,YouTube Shorts,introspective exploration
who is pleased and who may be not? at work,Awareness,Static Post,Medium,contemplative uncertainty
when to step forward and trust? again,Awareness,Carousel,Medium,formal and authoritative
do reveal? in life,Awareness,Article,LinkedIn,introspective reflection
where time-match questions are not actively spurred?,Desire,Carousel,Instagram,gratitude
your experiencings are changing the color of your truth now,Awareness,Article,YouTube Shorts,formal and authoritative
can you list both?,Interest,Carousel,LinkedIn,uplifting guidance
is un-humaning? again,Desire,Static Post,YouTube Shorts,promotional
dominant repeated behaviors or life stories? deeply,Awareness,Static Post,Facebook,introspective exploration
is not a desired state either? in life,Interest,Mini Article,Facebook,formal and authoritative
steps to define with precision deeply,Interest,Carousel,LinkedIn,introspective reflection
is a leading cause of our anxieties? deeply,Desire,Carousel,Facebook,gratitude
can reach destination satisfaction? deeply,Desire,YouTube Short,LinkedIn,inviting curiosity
cannot claim to be an expert on us? in life,Awareness,Carousel,Facebook,contemplative uncertainty
isn't connected? at work,Awareness,YouTube Short,Facebook,introspective reflection
feel quite superior? again,Interest,YouTube Short,Instagram,uplifting guidance
who or how does will help you see your blindspots and shadow side?,Awareness,Reel,Facebook,introspective reflection
methods to find common ground in conflict in life,Interest,Article,LinkedIn,introspective reflection
what exactly misses our eye is that anything that defines also confines?,Awareness,Reel,Facebook,reflective curiosity
is compromised? in life,Desire,Carousel,LinkedIn,gratitude
is to-be in life,Action,Carousel,Medium,introspective reflection
when we are considerate of our needs? in life,Awareness,YouTube Short,Facebook,uncertainty and introspection
is more accurate?,Awareness,Mini Article,Instagram,promotional
feel upset? at work,Awareness,Mini Article,Medium,introspective exploration
is tricky? again,Interest,Reel,YouTube Shorts,uplifting guidance
when we hit that fancy button on our remote? again,Desire,Reel,YouTube Shorts,gratitude
is it my real and exact reason? now,Awareness,Article,YouTube Shorts,uncertainty and introspection
when we tribe in a human way? at work,Desire,Mini Article,Facebook,uplifting guidance
can budge? at work,Desire,Mini Article,YouTube Shorts,uncertainty and introspection
is hard to pay attention? deeply,Interest,Mini Article,Medium,promotional
is too late? deeply,Action,YouTube Short,Instagram,uncertainty and introspection
is its unique shade?,Awareness,Mini Article,LinkedIn,gratitude
is to accept that faulty inner code is natural?,Interest,Mini Article,Instagram,formal and authoritative
is okay if your answer is lengthy?,Awareness,Carousel,Facebook,gratitude
does it mean is this movement so rapidly gaining momentum deeply,Awareness,YouTube Short,LinkedIn,promotional
do reveal? in life,Interest,Article,Medium,reflective curiosity
which is the vibe of the cashier?,Action,Article,Instagram,formal and authoritative
when we suffer from analysis paralysis? at work,Desire,Reel,YouTube Shorts,uncertainty and introspection
what someone said?,Awareness,Static Post,Instagram,uncertainty and introspection
why is this movement so rapidly gaining momentum,Awareness,Reel,Facebook,uncertainty and introspection
what exactly we exactly seek,Awareness,Mini Article,Medium,uncertainty and introspection
how and who is it influencing? deeply,Desire,Carousel,Facebook,introspective exploration
who stayed true to their shine?,Interest,Article,Medium,gratitude
where's the pinch? now,Interest,Article,Medium,reflective curiosity
methods to dish out a response deeply,Interest,Article,LinkedIn,introspective reflection
do it for me',Action,Article,Facebook,introspective reflection
can reach destination satisfaction? now,Awareness,YouTube Short,Medium,gratitude
don't know? deeply,Action,Mini Article,Instagram,promotional
down the rabbit hole of negativity? deeply,Interest,Mini Article,LinkedIn,contemplative uncertainty
can you point out ways we conclude - because-of-me or because-of-you?,Interest,Reel,Instagram,introspective reflection
is an abstract solid place to lean on? again,Action,Static Post,Instagram,reflective curiosity
can we?,Desire,Mini Article,Instagram,promotional
is beneficial at work,Awareness,Carousel,Facebook,introspective reflection
doomspeak? now,Awareness,Reel,LinkedIn,introspective reflection
can add up to fulfillment in life,Action,Mini Article,LinkedIn,inviting curiosity
down 24/7/365? again,Interest,Static Post,YouTube Shorts,promotional
is to honor our halfness? now,Action,Article,Facebook,uplifting guidance
when you failed?,Desire,YouTube Short,Facebook,uplifting guidance
are connected? now,Awareness,Reel,LinkedIn,contemplative uncertainty
is it something else? in life,Desire,Static Post,Instagram,uplifting guidance
is wishful thinking? now,Awareness,Reel,Facebook,uplifting guidance
cannot be an accusation? deeply,Action,Static Post,Medium,formal and authoritative
feel charged and human again? deeply,Interest,YouTube Short,LinkedIn,promotional
who are trapped in their demons? at work,Desire,Article,Facebook,formal and authoritative
can ill-use it?,Awareness,Static Post,Instagram,uncertainty and introspection
can you try treating big emotions with kindness and acceptance again,Desire,Mini Article,LinkedIn,formal and authoritative
do behave differently and experience life-changing events?,Desire,YouTube Short,Facebook,uncertainty and introspection
how does is ideal?,Action,YouTube Short,Medium,contemplative uncertainty
